Time	Channel A	Channel B
(ms)	(V)	(V)

-48.29389000	0.26181830	0.25580610
-48.28109000	0.27967160	0.28275400
-48.26829000	0.29752500	0.29172640
-48.25549000	0.31537830	0.30970180
-48.24269000	0.33326210	0.32764670
-48.22989000	0.35111550	0.34562210
-48.21709000	0.36005740	0.36356700
-48.20429000	0.37791070	0.38154240
-48.19149000	0.39576400	0.39051490
-48.17869000	0.40470590	0.39948730
-48.16589000	0.42255930	0.41746270
-48.15309000	0.43150120	0.43540760
-48.14029000	0.44935450	0.45338300
-48.12749000	0.45826590	0.46235540
-48.11469000	0.46720780	0.47132790
-48.10189000	0.48506120	0.48030030
-48.08909000	0.49400310	0.48930330
-48.07629000	0.50294510	0.50724820
-48.06349000	0.51185640	0.50724820
-48.05069000	0.52079840	0.51622060
-48.03789000	0.52970980	0.52522360
-48.02509000	0.53865170	0.53419600
-48.01229000	0.53865170	0.53419600
-47.99949000	0.54759360	0.54316840
-47.98669000	0.54759360	0.55214090
-47.97389000	0.55650500	0.55214090
-47.96109000	0.55650500	0.56114380
-47.94829000	0.55650500	0.56114380
-47.93549000	0.55650500	0.56114380
-47.92269000	0.55650500	0.56114380
-47.90989000	0.55650500	0.56114380
-47.89709000	0.55650500	0.55214090
-47.88429000	0.55650500	0.55214090
-47.87149000	0.54759360	0.54316840
-47.85869000	0.54759360	0.54316840
-47.84589000	0.53865170	0.54316840
-47.83309000	0.53865170	0.53419600
-47.82029000	0.53865170	0.53419600
-47.80749000	0.52970980	0.52522360
-47.79469000	0.51185640	0.51622060
-47.78189000	0.50294510	0.50724820
-47.76909000	0.50294510	0.49827570
-47.75629000	0.49400310	0.48930330
-47.74349000	0.47614980	0.47132790
-47.73069000	0.46720780	0.46235540
-47.71789000	0.45826590	0.45338300
-47.70509000	0.44041260	0.43540760
-47.69229000	0.43150120	0.42643510
-47.67949000	0.41361740	0.41746270
-47.66669000	0.39576400	0.39948730
-47.65389000	0.38682210	0.38154240
-47.64109000	0.36896880	0.37253940
-47.62829000	0.36005740	0.35459460
-47.61549000	0.34217350	0.33661920
-47.60269000	0.32432020	0.32764670
-47.58989000	0.31537830	0.30970180
-47.57709000	0.29752500	0.29172640
-47.56429000	0.27072970	0.27378150
-47.55149000	0.26181830	0.25580610
-47.53869000	0.24393450	0.23786130
-47.52589000	0.21716970	0.21988590
-47.51309000	0.19928590	0.20194100
-47.50029000	0.19037450	0.18396560
-47.48749000	0.17249060	0.16602070
-47.47469000	0.14572590	0.14804530
-47.46189000	0.12784200	0.13010040
-47.44909000	0.10998870	0.11212500
-47.43629000	0.09213538	0.09418012
-47.42349000	0.07428205	0.07620472
-47.41069000	0.04751732	0.04925688
